specialmove
motor2 0.59 -63.28 -114.84 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 -0.29 -62.70 -110.16
motor2 0.59 -63.57 -113.67 -0.29 -70.61 -123.93
motor1 0.00 -79.69 -125.39 -0.29 -62.70 -109.57
motor2 0.59 -63.57 -113.09 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -108.69
motor2 0.88 -63.87 -111.91 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -108.40
motor2 0.59 -63.87 -111.04 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 -0.29 -62.70 -107.52
motor2 0.59 -64.16 -110.16 -0.29 -70.90 -123.93
motor1 0.59 -79.69 -125.39 0.00 -62.70 -106.64
motor2 0.88 -64.45 -108.98 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.11 -105.47
motor2 0.88 -64.45 -108.40 -0.29 -70.90 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.70 -104.88
motor2 0.88 -65.04 -107.81 -0.29 -71.19 -123.93
motor1 0.59 -79.69 -125.39 0.00 -62.70 -104.30
motor2 0.59 -65.33 -106.64 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -103.12
motor2 0.29 -65.62 -106.05 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -102.83
motor2 0.29 -65.62 -105.18 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -101.37
motor2 0.29 -65.92 -104.59 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -100.78
motor2 0.59 -66.21 -104.30 -0.29 -71.48 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -99.61
motor2 0.29 -66.21 -103.71 -0.29 -71.48 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -98.73
motor2 0.29 -66.21 -102.54 -0.29 -71.48 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -98.14
motor2 0.29 -66.50 -101.95 -0.29 -71.19 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -96.68
motor2 0.29 -66.80 -101.07 -0.29 -71.48 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -95.51
motor2 0.29 -67.09 -100.20 -0.29 -71.19 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.70 -94.92
motor2 0.00 -67.68 -99.02 -0.29 -71.48 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.70 -94.04
motor2 0.00 -67.97 -98.14 -0.29 -71.48 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.70 -92.87
motor2 0.00 -68.26 -97.56 -0.29 -71.19 -123.93
motor1 0.59 -79.69 -125.39 0.00 -62.70 -91.99
